"","ID","description","temp","sunset","sunrise","epochTime","code","city","date"
"3046","cb0ef9a6-be32-11e8-a840-92ea41d01169","Showers",5,"7:21 pm","7:9 am",1537598599.92,"11","Medicine Hat",2018-09-22 00:43:19
"3047","36c15a50-c7ec-11e8-9d4d-1e599fe16f44","Cloudy",-3,"7:4 pm","7:36 am",1538667797.97,"26","Lethbridge",2018-10-04 09:43:17
"3048","1e3e3b90-bdf8-11e8-a7f3-aa4e448ef5d0","Cloudy",0,"7:35 pm","7:18 am",1537573399.17,"26","Edmonton",2018-09-21 17:43:19
"3049","b452fcfc-c6ad-11e8-9ae6-aa048205402a","Cloudy",0,"6:59 pm","7:24 am",1538530999.18,"26","Medicine Hat",2018-10-02 19:43:19
"3050","9236c17e-b4d5-11e8-8577-7ac58b32d6a8","Mostly Clear",13,"7:48 pm","6:51 am",1536569000.89,"33","Medicine Hat",2018-09-10 02:43:20
"3051","6e60304a-c0a7-11e8-82c4-bec39fd5beb4","Cloudy",3,"7:28 pm","7:27 am",1537868597.87,"26","Calgary",2018-09-25 03:43:17
"3052","8f50284a-b98c-11e8-aa46-36da5cdb06e7","Cloudy",1,"7:48 pm","7:9 am",1537087398.58,"26","Edmonton",2018-09-16 02:43:18
"3053","92554a18-bef3-11e8-9d7d-62f3eb6f5f8f","Cloudy",0,"7:35 pm","7:22 am",1537681397.62,"26","Calgary",2018-09-22 23:43:17
"3054","d014cab8-b85e-11e8-bb1c-ae036e6ca9c2","Cloudy",12,"7:39 pm","6:57 am",1536957799.23,"26","Medicine Hat",2018-09-14 14:43:19
"3055","9b2fa790-be86-11e8-93f9-d6d424f185df","Cloudy",0,"7:35 pm","7:22 am",1537634597.33,"26","Calgary",2018-09-22 10:43:17
"3056","aa7a96b2-b678-11e8-9459-4a89ac53eb83","Showers",6,"7:58 pm","7:4 am",1536749000.73,"11","Red Deer",2018-09-12 04:43:20
"3057","2f5a6990-b69a-11e8-a843-c6c1dccf0ed6","Mostly Cloudy",7,"7:58 pm","7:7 am",1536763397.05,"28","Calgary",2018-09-12 08:43:17
"3058","0daedea0-ba1b-11e8-a4fb-4e41101ef2ab","Partly Cloudy",11,"7:34 pm","7:0 am",1537148599.12,"30","Medicine Hat",2018-09-16 19:43:19
"3059","ae786c36-bdac-11e8-8f25-babc1f05e706","Mostly Cloudy",7,"7:23 pm","7:7 am",1537540999.4,"28","Medicine Hat",2018-09-21 08:43:19
"3060","9db2f382-b34b-11e8-8002-560f388e79e7","Cloudy",12,"8:7 pm","6:55 am",1536399798.45,"26","Edmonton",2018-09-08 03:43:18
"3061","e8da69c4-c252-11e8-b27e-02fb975da852","Cloudy",3,"7:21 pm","7:28 am",1538052198.45,"26","Edmonton",2018-09-27 06:43:18
"3062","00f391a6-c8ad-11e8-86c7-feb6af3048c6","Partly Cloudy",-2,"7:3 pm","7:43 am",1538750600.57,"30","Red Deer",2018-10-05 08:43:20
"3063","8994e5de-b258-11e8-a56f-e63e01dff2e9","Partly Cloudy",13,"8:11 pm","6:57 am",1536295396.99,"29","Calgary",2018-09-06 22:43:16
"3064","3afa7764-c6cf-11e8-983f-9e283736f851","Partly Cloudy",-2,"7:9 pm","7:37 am",1538545398.48,"29","Edmonton",2018-10-02 23:43:18
"3065","542dd8a2-b4e6-11e8-8577-7ac58b32d6a8","Mostly Cloudy",7,"8:2 pm","6:59 am",1536576198.26,"27","Edmonton",2018-09-10 04:43:18
"3066","5b0ee2fe-ad45-11e8-9960-7a06b24fdb27","Sunny",13,"8:25 pm","6:45 am",1535737402.69,"32","Red Deer",2018-08-31 11:43:22
"3067","af13f154-b728-11e8-855d-76084866ebfd","Cloudy",0,"7:55 pm","7:6 am",1536824599.87,"26","Red Deer",2018-09-13 01:43:19
"3068","835beebc-afdb-11e8-b76b-4aaf8d9ddbf5","Mostly Cloudy",14,"8:18 pm","6:53 am",1536021797.13,"28","Calgary",2018-09-03 18:43:17
"3069","99c62d88-c170-11e8-8830-deddd04a9a5e","Cloudy",9,"7:23 pm","7:27 am",1537954999.52,"26","Edmonton",2018-09-26 03:43:19
"3070","ee3dd4ba-b42d-11e8-bb60-f6c0f0ab83f2","Scattered Showers",13,"7:50 pm","6:49 am",1536496999.84,"39","Medicine Hat",2018-09-09 06:43:19
"3071","9edfd114-ae94-11e8-a8f0-92ec0da79284","Mostly Cloudy",6,"8:20 pm","6:51 am",1535881397.87,"27","Calgary",2018-09-02 03:43:17
"3072","8a550166-c7b1-11e8-91cb-bed55c82e76a","Cloudy",-4,"7:4 pm","7:36 am",1538642597.88,"26","Lethbridge",2018-10-04 02:43:17
